Namespace(active_connection=10, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=1, feat_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[80, 10], knn_graph_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random/knn_index_200.npy', label_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_label_celeb_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3', loss='normal', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0.0, seed=1, weight_decay=0.0001, workers=0)
log dir:   params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3
Current lr 0.01
Epoch:[0][0/3880]	Time 1.912 (1.912)	Data 0.645 (0.645)	Loss 0.637 (0.637)	Accuracy 0.669 (0.669)	Precison 0.000 (0.000)	Recall 0.000 (0.000)
Epoch:[0][20/3880]	Time 0.477 (0.607)	Data 0.432 (0.495)	Loss 0.684 (0.707)	Accuracy 0.377 (0.511)	Precison 1.000 (0.531)	Recall 0.015 (0.522)
Epoch:[0][40/3880]	Time 0.544 (0.607)	Data 0.504 (0.510)	Loss 0.612 (0.688)	Accuracy 0.881 (0.550)	Precison 0.833 (0.598)	Recall 0.992 (0.657)
Epoch:[0][60/3880]	Time 0.421 (0.600)	Data 0.361 (0.505)	Loss 0.570 (0.665)	Accuracy 0.921 (0.634)	Precison 0.974 (0.712)	Recall 0.920 (0.681)
Epoch:[0][80/3880]	Time 0.523 (0.599)	Data 0.467 (0.504)	Loss 0.516 (0.644)	Accuracy 0.881 (0.662)	Precison 0.934 (0.722)	Recall 0.874 (0.750)
Epoch:[0][100/3880]	Time 0.704 (0.607)	Data 0.626 (0.513)	Loss 0.511 (0.642)	Accuracy 0.894 (0.670)	Precison 0.909 (0.729)	Recall 0.849 (0.776)
Epoch:[0][120/3880]	Time 0.465 (0.599)	Data 0.418 (0.505)	Loss 0.567 (0.629)	Accuracy 0.698 (0.679)	Precison 0.966 (0.741)	Recall 0.623 (0.791)
Epoch:[0][140/3880]	Time 0.621 (0.599)	Data 0.578 (0.506)	Loss 0.484 (0.616)	Accuracy 0.745 (0.685)	Precison 0.693 (0.748)	Recall 0.999 (0.795)
Epoch:[0][160/3880]	Time 0.690 (0.605)	Data 0.507 (0.511)	Loss 0.542 (0.605)	Accuracy 0.617 (0.694)	Precison 0.599 (0.753)	Recall 1.000 (0.809)
Epoch:[0][180/3880]	Time 0.502 (0.603)	Data 0.442 (0.510)	Loss 0.432 (0.587)	Accuracy 0.861 (0.710)	Precison 0.998 (0.765)	Recall 0.831 (0.819)
Epoch:[0][200/3880]	Time 0.428 (0.603)	Data 0.344 (0.510)	Loss 0.372 (0.574)	Accuracy 0.887 (0.718)	Precison 0.955 (0.770)	Recall 0.905 (0.827)
Epoch:[0][220/3880]	Time 0.587 (0.603)	Data 0.410 (0.509)	Loss 0.290 (0.563)	Accuracy 0.875 (0.725)	Precison 0.860 (0.774)	Recall 0.997 (0.836)
Epoch:[0][240/3880]	Time 0.464 (0.599)	Data 0.378 (0.506)	Loss 0.355 (0.553)	Accuracy 0.913 (0.731)	Precison 0.958 (0.780)	Recall 0.926 (0.838)
Epoch:[0][260/3880]	Time 0.659 (0.601)	Data 0.380 (0.507)	Loss 0.579 (0.546)	Accuracy 0.702 (0.735)	Precison 1.000 (0.782)	Recall 0.605 (0.843)
Epoch:[0][280/3880]	Time 0.680 (0.598)	Data 0.570 (0.504)	Loss 0.610 (0.542)	Accuracy 0.612 (0.736)	Precison 0.538 (0.783)	Recall 1.000 (0.849)
Epoch:[0][300/3880]	Time 0.713 (0.600)	Data 0.628 (0.506)	Loss 0.393 (0.528)	Accuracy 0.784 (0.746)	Precison 0.702 (0.792)	Recall 0.998 (0.851)
Epoch:[0][320/3880]	Time 0.758 (0.599)	Data 0.584 (0.505)	Loss 0.192 (0.514)	Accuracy 0.969 (0.755)	Precison 0.968 (0.797)	Recall 0.978 (0.858)
Epoch:[0][340/3880]	Time 0.512 (0.600)	Data 0.471 (0.505)	Loss 0.256 (0.499)	Accuracy 0.886 (0.764)	Precison 0.930 (0.805)	Recall 0.904 (0.862)
Epoch:[0][360/3880]	Time 0.888 (0.601)	Data 0.701 (0.506)	Loss 1.264 (0.509)	Accuracy 0.418 (0.760)	Precison 0.402 (0.804)	Recall 1.000 (0.860)
