Namespace(active_connection=5, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=10, feat_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_feat_deepfashion_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[5, 5], knn_graph_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_feat_deepfashion_random/knn_index_20.npy', label_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_label_deepfashion_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_200_3', loss='FL1', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0, seed=1, weight_decay=0.0001, workers=1)
log dir:   params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_200_3
Current lr 0.01
Epoch:[0][0/1012]	Time 1.786 (1.786)	Data 0.737 (0.737)	Loss 0.195 (0.195)	Accuracy 0.575 (0.575)	Precison 0.000 (0.000)	Recall 0.000 (0.000)
Epoch:[0][20/1012]	Time 0.016 (0.100)	Data 0.007 (0.041)	Loss 0.156 (0.157)	Accuracy 0.350 (0.489)	Precison 0.350 (0.319)	Recall 1.000 (0.649)
Epoch:[0][40/1012]	Time 0.013 (0.060)	Data 0.006 (0.025)	Loss 0.156 (0.154)	Accuracy 0.450 (0.442)	Precison 0.450 (0.356)	Recall 1.000 (0.815)
Epoch:[0][60/1012]	Time 0.018 (0.046)	Data 0.008 (0.019)	Loss 0.150 (0.152)	Accuracy 0.438 (0.426)	Precison 0.438 (0.368)	Recall 1.000 (0.876)
Epoch:[0][80/1012]	Time 0.015 (0.039)	Data 0.007 (0.016)	Loss 0.144 (0.151)	Accuracy 0.350 (0.423)	Precison 0.350 (0.379)	Recall 1.000 (0.906)
Epoch:[0][100/1012]	Time 0.023 (0.034)	Data 0.008 (0.014)	Loss 0.145 (0.150)	Accuracy 0.475 (0.425)	Precison 0.475 (0.390)	Recall 1.000 (0.925)
Epoch:[0][120/1012]	Time 0.017 (0.032)	Data 0.007 (0.013)	Loss 0.150 (0.149)	Accuracy 0.438 (0.417)	Precison 0.417 (0.386)	Recall 0.909 (0.935)
Epoch:[0][140/1012]	Time 0.017 (0.029)	Data 0.008 (0.013)	Loss 0.141 (0.148)	Accuracy 0.425 (0.418)	Precison 0.425 (0.389)	Recall 1.000 (0.943)
Epoch:[0][160/1012]	Time 0.015 (0.028)	Data 0.007 (0.012)	Loss 0.144 (0.147)	Accuracy 0.400 (0.415)	Precison 0.392 (0.390)	Recall 1.000 (0.949)
Epoch:[0][180/1012]	Time 0.016 (0.027)	Data 0.008 (0.011)	Loss 0.141 (0.146)	Accuracy 0.425 (0.415)	Precison 0.410 (0.391)	Recall 1.000 (0.955)
Epoch:[0][200/1012]	Time 0.026 (0.026)	Data 0.010 (0.011)	Loss 0.140 (0.146)	Accuracy 0.412 (0.416)	Precison 0.405 (0.393)	Recall 1.000 (0.959)
Epoch:[0][220/1012]	Time 0.018 (0.025)	Data 0.008 (0.011)	Loss 0.142 (0.145)	Accuracy 0.500 (0.418)	Precison 0.487 (0.394)	Recall 0.974 (0.961)
Epoch:[0][240/1012]	Time 0.018 (0.024)	Data 0.008 (0.010)	Loss 0.130 (0.144)	Accuracy 0.463 (0.420)	Precison 0.386 (0.395)	Recall 1.000 (0.963)
Epoch:[0][260/1012]	Time 0.014 (0.024)	Data 0.005 (0.010)	Loss 0.139 (0.144)	Accuracy 0.488 (0.424)	Precison 0.474 (0.399)	Recall 1.000 (0.964)
