Namespace(active_connection=5, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_500_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=1, feat_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_500_3/train_feat_deepfashion_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[5, 5], knn_graph_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_500_3/train_feat_deepfashion_random/knn_index_20.npy', label_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_500_3/train_label_deepfashion_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_500_3', loss='normal', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0, seed=1, weight_decay=0.0001, workers=1)
log dir:   params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_500_3
Current lr 0.01
Epoch:[0][0/1183]	Time 1.720 (1.720)	Data 0.722 (0.722)	Loss 0.666 (0.666)	Accuracy 0.613 (0.613)	Precison 0.000 (0.000)	Recall 0.000 (0.000)
Epoch:[0][20/1183]	Time 0.024 (0.098)	Data 0.014 (0.041)	Loss 0.683 (0.685)	Accuracy 0.562 (0.548)	Precison 0.222 (0.153)	Recall 0.067 (0.034)
Epoch:[0][40/1183]	Time 0.015 (0.060)	Data 0.007 (0.025)	Loss 0.717 (0.677)	Accuracy 0.425 (0.550)	Precison 0.000 (0.127)	Recall 0.000 (0.022)
Epoch:[0][60/1183]	Time 0.020 (0.046)	Data 0.013 (0.020)	Loss 0.665 (0.671)	Accuracy 0.538 (0.562)	Precison 0.667 (0.294)	Recall 0.053 (0.050)
Epoch:[0][80/1183]	Time 0.017 (0.039)	Data 0.009 (0.017)	Loss 0.672 (0.663)	Accuracy 0.663 (0.574)	Precison 0.867 (0.379)	Recall 0.342 (0.065)
Epoch:[0][100/1183]	Time 0.021 (0.035)	Data 0.013 (0.016)	Loss 0.734 (0.659)	Accuracy 0.538 (0.590)	Precison 1.000 (0.456)	Recall 0.119 (0.115)
Epoch:[0][120/1183]	Time 0.017 (0.032)	Data 0.009 (0.015)	Loss 0.614 (0.655)	Accuracy 0.575 (0.602)	Precison 0.800 (0.500)	Recall 0.108 (0.164)
Epoch:[0][140/1183]	Time 0.013 (0.030)	Data 0.006 (0.014)	Loss 0.595 (0.652)	Accuracy 0.650 (0.609)	Precison 0.000 (0.521)	Recall 0.000 (0.222)
Epoch:[0][160/1183]	Time 0.013 (0.028)	Data 0.006 (0.013)	Loss 0.745 (0.653)	Accuracy 0.550 (0.611)	Precison 1.000 (0.536)	Recall 0.053 (0.254)
Epoch:[0][180/1183]	Time 0.015 (0.027)	Data 0.007 (0.013)	Loss 0.664 (0.650)	Accuracy 0.713 (0.615)	Precison 0.846 (0.553)	Recall 0.344 (0.289)
Epoch:[0][200/1183]	Time 0.023 (0.026)	Data 0.013 (0.013)	Loss 0.705 (0.648)	Accuracy 0.562 (0.618)	Precison 0.857 (0.566)	Recall 0.150 (0.306)
Epoch:[0][220/1183]	Time 0.014 (0.025)	Data 0.007 (0.012)	Loss 0.544 (0.645)	Accuracy 0.725 (0.622)	Precison 0.786 (0.574)	Recall 0.367 (0.322)
Epoch:[0][240/1183]	Time 0.022 (0.025)	Data 0.012 (0.012)	Loss 0.578 (0.643)	Accuracy 0.725 (0.627)	Precison 0.720 (0.585)	Recall 0.545 (0.344)
Epoch:[0][260/1183]	Time 0.017 (0.024)	Data 0.009 (0.012)	Loss 0.577 (0.641)	Accuracy 0.725 (0.631)	Precison 0.654 (0.595)	Recall 0.567 (0.356)
Epoch:[0][280/1183]	Time 0.020 (0.024)	Data 0.010 (0.012)	Loss 0.672 (0.637)	Accuracy 0.538 (0.636)	Precison 0.439 (0.604)	Recall 0.562 (0.370)
Epoch:[0][300/1183]	Time 0.018 (0.023)	Data 0.010 (0.011)	Loss 0.549 (0.633)	Accuracy 0.775 (0.640)	Precison 0.727 (0.610)	Recall 0.727 (0.384)
Epoch:[0][320/1183]	Time 0.015 (0.023)	Data 0.006 (0.011)	Loss 0.565 (0.631)	Accuracy 0.700 (0.643)	Precison 0.683 (0.615)	Recall 0.718 (0.392)
Epoch:[0][340/1183]	Time 0.017 (0.023)	Data 0.009 (0.011)	Loss 0.597 (0.628)	Accuracy 0.725 (0.648)	Precison 0.647 (0.620)	Recall 0.407 (0.406)
Epoch:[0][360/1183]	Time 0.017 (0.022)	Data 0.003 (0.011)	Loss 0.548 (0.626)	Accuracy 0.738 (0.650)	Precison 0.737 (0.622)	Recall 0.718 (0.416)
Epoch:[0][380/1183]	Time 0.016 (0.022)	Data 0.006 (0.010)	Loss 0.711 (0.623)	Accuracy 0.637 (0.653)	Precison 0.846 (0.627)	Recall 0.468 (0.427)
Epoch:[0][400/1183]	Time 0.026 (0.022)	Data 0.013 (0.010)	Loss 0.557 (0.620)	Accuracy 0.650 (0.655)	Precison 0.537 (0.631)	Recall 0.710 (0.437)
Epoch:[0][420/1183]	Time 0.020 (0.021)	Data 0.011 (0.010)	Loss 0.581 (0.617)	Accuracy 0.788 (0.659)	Precison 0.840 (0.635)	Recall 0.618 (0.447)
Epoch:[0][440/1183]	Time 0.017 (0.021)	Data 0.009 (0.010)	Loss 0.536 (0.614)	Accuracy 0.750 (0.662)	Precison 0.500 (0.637)	Recall 0.500 (0.454)
Epoch:[0][460/1183]	Time 0.017 (0.021)	Data 0.007 (0.010)	Loss 0.701 (0.614)	Accuracy 0.575 (0.663)	Precison 0.516 (0.639)	Recall 0.889 (0.461)
Epoch:[0][480/1183]	Time 0.018 (0.021)	Data 0.009 (0.010)	Loss 0.573 (0.613)	Accuracy 0.775 (0.664)	Precison 0.909 (0.641)	Recall 0.556 (0.467)
Epoch:[0][500/1183]	Time 0.018 (0.021)	Data 0.009 (0.010)	Loss 0.496 (0.610)	Accuracy 0.762 (0.666)	Precison 0.765 (0.645)	Recall 0.703 (0.475)
Epoch:[0][520/1183]	Time 0.018 (0.021)	Data 0.009 (0.010)	Loss 0.587 (0.610)	Accuracy 0.675 (0.666)	Precison 0.750 (0.646)	Recall 0.571 (0.480)
Epoch:[0][540/1183]	Time 0.018 (0.021)	Data 0.009 (0.010)	Loss 0.519 (0.609)	Accuracy 0.788 (0.667)	Precison 0.818 (0.647)	Recall 0.711 (0.488)
Epoch:[0][560/1183]	Time 0.016 (0.021)	Data 0.005 (0.010)	Loss 0.533 (0.607)	Accuracy 0.725 (0.669)	Precison 0.653 (0.650)	Recall 0.865 (0.494)
Epoch:[0][580/1183]	Time 0.012 (0.020)	Data 0.004 (0.010)	Loss 0.558 (0.606)	Accuracy 0.688 (0.670)	Precison 0.667 (0.651)	Recall 0.438 (0.496)
Epoch:[0][600/1183]	Time 0.020 (0.020)	Data 0.010 (0.010)	Loss 0.477 (0.604)	Accuracy 0.838 (0.672)	Precison 0.833 (0.654)	Recall 0.854 (0.503)
Epoch:[0][620/1183]	Time 0.019 (0.020)	Data 0.010 (0.010)	Loss 0.522 (0.602)	Accuracy 0.825 (0.674)	Precison 0.912 (0.656)	Recall 0.738 (0.508)
Epoch:[0][640/1183]	Time 0.017 (0.020)	Data 0.006 (0.010)	Loss 0.494 (0.600)	Accuracy 0.738 (0.675)	Precison 0.737 (0.658)	Recall 0.467 (0.512)
Epoch:[0][660/1183]	Time 0.017 (0.020)	Data 0.007 (0.010)	Loss 0.709 (0.600)	Accuracy 0.637 (0.676)	Precison 0.818 (0.659)	Recall 0.419 (0.516)
Epoch:[0][680/1183]	Time 0.019 (0.020)	Data 0.009 (0.010)	Loss 0.590 (0.600)	Accuracy 0.762 (0.676)	Precison 0.714 (0.659)	Recall 0.811 (0.517)
Epoch:[0][700/1183]	Time 0.017 (0.020)	Data 0.003 (0.009)	Loss 0.816 (0.600)	Accuracy 0.400 (0.675)	Precison 0.295 (0.659)	Recall 0.783 (0.523)
Epoch:[0][720/1183]	Time 0.012 (0.020)	Data 0.004 (0.009)	Loss 0.596 (0.599)	Accuracy 0.663 (0.676)	Precison 0.741 (0.661)	Recall 0.500 (0.527)
Epoch:[0][740/1183]	Time 0.019 (0.020)	Data 0.011 (0.009)	Loss 0.639 (0.599)	Accuracy 0.675 (0.676)	Precison 0.839 (0.661)	Recall 0.553 (0.529)
Epoch:[0][760/1183]	Time 0.016 (0.020)	Data 0.007 (0.009)	Loss 0.568 (0.598)	Accuracy 0.675 (0.677)	Precison 0.634 (0.664)	Recall 0.703 (0.531)
Epoch:[0][780/1183]	Time 0.019 (0.020)	Data 0.010 (0.009)	Loss 0.590 (0.597)	Accuracy 0.650 (0.678)	Precison 0.688 (0.665)	Recall 0.550 (0.533)
Epoch:[0][800/1183]	Time 0.018 (0.020)	Data 0.009 (0.009)	Loss 0.621 (0.596)	Accuracy 0.688 (0.679)	Precison 0.724 (0.666)	Recall 0.553 (0.537)
Epoch:[0][820/1183]	Time 0.016 (0.019)	Data 0.006 (0.009)	Loss 0.565 (0.596)	Accuracy 0.650 (0.679)	Precison 0.607 (0.667)	Recall 0.850 (0.540)
Epoch:[0][840/1183]	Time 0.018 (0.019)	Data 0.008 (0.009)	Loss 0.555 (0.596)	Accuracy 0.688 (0.680)	Precison 0.600 (0.668)	Recall 0.857 (0.544)
Epoch:[0][860/1183]	Time 0.017 (0.019)	Data 0.007 (0.009)	Loss 0.513 (0.595)	Accuracy 0.738 (0.680)	Precison 0.650 (0.669)	Recall 0.788 (0.546)
Epoch:[0][880/1183]	Time 0.015 (0.019)	Data 0.006 (0.009)	Loss 0.517 (0.594)	Accuracy 0.775 (0.682)	Precison 0.765 (0.670)	Recall 0.722 (0.547)
Epoch:[0][900/1183]	Time 0.015 (0.019)	Data 0.002 (0.009)	Loss 0.539 (0.593)	Accuracy 0.725 (0.683)	Precison 0.634 (0.672)	Recall 0.788 (0.550)
Epoch:[0][920/1183]	Time 0.019 (0.019)	Data 0.004 (0.009)	Loss 0.516 (0.592)	Accuracy 0.775 (0.683)	Precison 0.721 (0.672)	Recall 0.838 (0.553)
Epoch:[0][940/1183]	Time 0.018 (0.019)	Data 0.010 (0.009)	Loss 0.580 (0.592)	Accuracy 0.663 (0.684)	Precison 0.594 (0.673)	Recall 0.576 (0.554)
Epoch:[0][960/1183]	Time 0.016 (0.019)	Data 0.008 (0.009)	Loss 0.464 (0.590)	Accuracy 0.738 (0.685)	Precison 0.656 (0.674)	Recall 0.677 (0.556)
Epoch:[0][980/1183]	Time 0.015 (0.019)	Data 0.007 (0.009)	Loss 0.532 (0.589)	Accuracy 0.688 (0.686)	Precison 0.471 (0.675)	Recall 0.696 (0.558)
Epoch:[0][1000/1183]	Time 0.022 (0.019)	Data 0.013 (0.009)	Loss 0.610 (0.589)	Accuracy 0.663 (0.686)	Precison 0.618 (0.676)	Recall 0.600 (0.559)
Epoch:[0][1020/1183]	Time 0.016 (0.019)	Data 0.009 (0.009)	Loss 0.436 (0.588)	Accuracy 0.812 (0.687)	Precison 0.778 (0.676)	Recall 0.560 (0.561)
Epoch:[0][1040/1183]	Time 0.015 (0.019)	Data 0.007 (0.009)	Loss 0.671 (0.588)	Accuracy 0.650 (0.687)	Precison 0.929 (0.677)	Recall 0.325 (0.563)
Epoch:[0][1060/1183]	Time 0.016 (0.019)	Data 0.008 (0.009)	Loss 0.595 (0.587)	Accuracy 0.688 (0.689)	Precison 0.660 (0.679)	Recall 0.805 (0.565)
Epoch:[0][1080/1183]	Time 0.019 (0.019)	Data 0.011 (0.009)	Loss 0.429 (0.586)	Accuracy 0.825 (0.689)	Precison 0.900 (0.679)	Recall 0.711 (0.567)
Epoch:[0][1100/1183]	Time 0.020 (0.019)	Data 0.011 (0.009)	Loss 0.556 (0.585)	Accuracy 0.700 (0.691)	Precison 0.480 (0.681)	Recall 0.522 (0.568)
Epoch:[0][1120/1183]	Time 0.015 (0.019)	Data 0.004 (0.009)	Loss 0.462 (0.584)	Accuracy 0.788 (0.691)	Precison 0.737 (0.682)	Recall 0.800 (0.569)
Epoch:[0][1140/1183]	Time 0.019 (0.019)	Data 0.009 (0.009)	Loss 0.449 (0.584)	Accuracy 0.838 (0.692)	Precison 0.912 (0.683)	Recall 0.756 (0.571)
Epoch:[0][1160/1183]	Time 0.019 (0.019)	Data 0.012 (0.009)	Loss 0.521 (0.583)	Accuracy 0.775 (0.693)	Precison 0.682 (0.684)	Recall 0.882 (0.573)
Epoch:[0][1180/1183]	Time 0.015 (0.019)	Data 0.007 (0.009)	Loss 0.441 (0.583)	Accuracy 0.788 (0.693)	Precison 0.857 (0.685)	Recall 0.562 (0.574)
==> train time use 24.14816117286682
